Quadro PNRR e Piano Complementare aggiornato al 30 settembre 2021,,,,,,,,,,,
cod. Missione,cod. componente,Nome progetto tavola PNRR,Tipologia,Misura PNRR ufficiale (ITA),Amministrazione titolare,"Progetti in essere
(Mln€)","FSC
(Mln€)","Nuovi progetti
(Mln€)","Totale PNRR
(Mln€)
(a)","Fondo complementare 
(Mln€)
(b)","Totale 
(Mln€)
(a+b)"
M1,C1,Digitalizzazione della Pubblica Amministrazione,Investimento,1.1: Infrastrutture digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","900,00","900,00","0,00","900,00"
,,,Riforma,1.2: Supporto alla trasformazione delle PA locali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","155,00","155,00",,
,,,Sub-Riforma,1.2.1: Ufficio Trasformazione,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","155,00","155,00","0,00","155,00"
,,,Investimento,1.2: Abilitazione e facilitazione migrazione al Cloud,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","1000,00","1000,00","0,00","1000,00"
,,,Investimento,1.3: Dati e interoperabilità,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","646,00","646,00",,
,,,Sub-Investimento,1.3.1: Piattaforma nazionale digitale dei dati,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","556,00","556,00","0,00","556,00"
,,,Sub-Investimento,1.3.2: Single Digital Gateway,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","90,00","90,00","0,00","90,00"
,,,Investimento,1.4: Servizi digitali e cittadinanza digitale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","2013,00","2013,00",,
,,,Sub-Investimento,1.4.1: Citizen experience - Miglioramento della qualità e dell'usabilità dei servizi pubblici digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","613,00","613,00","0,00","613,00"
,,,Sub-Investimento,1.4.2: Citizen inclusion - Miglioramento dell'accessibilità dei servizi pubblici digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","80,00","80,00","0,00","80,00"
,,,Sub-Investimento,1.4.3: Servizi digitali e cittadinanza digitale - piattaforme e applicativi,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","750,00","750,00","0,00","750,00"
,,,Sub-Investimento,"1.4.4: Estensione dell'utilizzo delle piattaforme nazionali di Identità Digitale (SPID, CIE) e dell'anagrafe nazionale digitale (ANPR)","PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","285,00","285,00","0,00","285,00"
,,,Sub-Investimento,1.4.5: Piattaforma Notifiche Digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","245,00","245,00","0,00","245,00"
,,,Sub-Investimento,1.4.6: Mobility as a service for Italy,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","40,00","40,00","0,00","40,00"
,,,Investimento,Servizi digitali e cittadinanza digitale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)",,,,"0,00","350,00","350,00"
,,,Investimento,Servizi digitali e competenze digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)",,,,"0,00","250,00","250,00"
,,,Investimento,“Polis” - Case dei servizi di cittadinanza digitale,Ministero dello Sviluppo Economico (MiSE),,,,,"800,00","800,00"
,,,Investimento,1.5: Cybersecurity,PCM - Ministro per l’innovazione tecnologica e la transizione digitale (MITD) in collaborazione con PCM-DIS,"0,00","0,00","623,00","623,00","0,00","623,00"
,,,Investimento,1.6: Digitalizzazione delle grandi amministrazioni centrali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","611,20","611,20",,
,,,Sub-Investimento,1.6.1: Digitalizzazione del Ministero dell'Interno,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","107,00","107,00","0,00","107,00"
,,,Sub-Investimento,1.6.2: Digitalizzazione del Ministero della Giustizia,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","133,20","133,20","0,00","133,20"
,,,Sub-Investimento,1.6.3: Digitalizzazione dell'Istituto Nazionale della Previdenza Sociale (INPS) e dell'Istituto Nazionale per l'Assicurazione contro gli Infortuni sul Lavoro (INAIL),"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","296,00","296,00","0,00","296,00"
,,,Sub-Investimento,1.6.4: Digitalizzazione del Ministero della Difesa,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","42,50","42,50","0,00","42,50"
,,,Sub-Investimento,1.6.5: Digitalizzazione Consiglio di Stato,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","7,50","7,50","0,00","7,50"
,,,Sub-Investimento,1.6.6: Digitalizzazione Guardia di Finanza,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","25,00","25,00","0,00","25,00"
,,,Investimento,1.7: Competenze digitali di base,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","195,00","195,00",,
,,,Sub-Investimento,1.7.1: Servizio Civile Digitale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","60,00","60,00","0,00","60,00"
,,,Sub-Investimento,1.7.2: Rete di servizi di facilitazione digitale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","135,00","135,00","0,00","135,00"
,,Innovazione organizzativa della Giustizia,Investimento,3.1: Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali,Ministero della Giustizia (MG) e Consiglio di Stato (CdS),"0,00","0,00","2268,05","2268,05","0,00","2268,05"
,,,Investimento,3.2: Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa,Ministero della Giustizia (MG) e Consiglio di Stato (CdS),"0,00","0,00","41,80","41,80","0,00","41,80"
,,Modernizzazione della PA,Investimento,2.1: Portale unico del reclutamento,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","20,50","20,50",,
,,,Sub-Investimento,2.1.1: Creazione di una piattaforma unica di reclutamento,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","11,50","11,50","0,00","11,50"
,,,Sub-Investimento,2.1.2: Procedure per l'assunzione di profili tecnici,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","9,00","9,00","0,00","9,00"
,,,Investimento,"2.2: Task Force digitalizzazione, monitoraggio e performance",PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","734,20","734,20",,
,,,Sub-Investimento,2.2.1: Assistenza tecnica a livello centrale e locale,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","368,40","368,40","0,00","368,40"
,,,Sub-Investimento,2.2.2: Semplificazione e standardizzazione delle procedure,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","4,00","4,00","0,00","4,00"
,,,Sub-Investimento,2.2.3: Digitalizzazione delle procedure (SUAP & SUE),PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","324,40","324,40","0,00","324,40"
,,,Sub-Investimento,2.2.4: Monitoraggio e comunicazione delle azioni di semplificazione,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","21,00","21,00","0,00","21,00"
,,,Sub-Investimento,2.2.5: Amministrazione pubblica orientata ai risultati,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","16,40","16,40","0,00","16,40"
,,,Riforma,2.3: Competenze e carriere,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","24,30","24,30",,
,,,Sub-Riforma,2.3.1: Riforma del mercato del lavoro della PA,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","24,30","24,30","0,00","24,30"
,,,Investimento,2.3: Competenze: Competenze e capacità amministrativa,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","489,90","489,90",,
,,,Sub-Investimento,2.3.1: Investimenti in istruzione e formazione,PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","139,00","139,00","0,00","139,00"
,,,Sub-Investimento,"2.3.2: Sviluppo delle capacità nella pianificazione, organizzazione e formazione strategica della forza lavoro",PCM - Ministro per la Pubblica Amministrazione,"0,00","0,00","350,90","350,90","0,00","350,90"
M1,C2,"Banda Larga, 5G e monitoraggio satellitare",Investimento,2. Innovazione e tecnologia della Microelettronica,Ministero dell'Economia e delle Finanze (MEF),"0,00","0,00","340,00","340,00","0,00","340,00"
,,,Investimento,3. Reti ultraveloci (banda ultra-larga e 5G),"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","1212,50","134,00","5360,00","6706,50",,
,,,Sub-Investimento,3.1 Piano Italia a 1 Gbps,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","1058,50","134,00","2671,00","3863,50","0,00","3863,50"
,,,Sub-Investimento,"3.2 Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche)","PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","2020,00","2020,00","0,00","2020,00"
,,,Sub-Investimento,3.3 Scuola Connessa,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","261,00","261,00","0,00","261,00"
,,,Sub-Investimento,3.4 Sanità Connessa,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","93,50","0,00","408,00","501,50","0,00","501,50"
,,,Sub-Investimento,3.5 Collegamento isole minori,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","60,50","0,00","0,00","60,50","0,00","60,50"
,,,Investimento,4. Tecnologie satellitari ed economia spaziale*,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","1487,00","1487,00",,
,,,Sub-Investimento,4.1 SatCom,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","385,00","385,00","0,00","385,00"
,,,Sub-Investimento,4.2 Osservazione della Terra,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","417,00","417,00","0,00","417,00"
,,,Sub-Investimento,4.3 Space Factory,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","235,00","235,00","0,00","235,00"
,,,Sub-Investimento,4.4 In-Orbit Economy,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","450,00","450,00","0,00","450,00"
,,,Investimento,Tecnologie satellitari ed economia spaziale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)",,,,"0,00","800,00","800,00"
,,,Intervento,Digitalizzazione PMI e Fondo di Garanzia,,,,,"0,00","0,00","0,00"
,,Politiche industriali di filiera e internazionalizzazione,Investimento,5: Politiche industriali di filiera e internazionalizzazione,,"0,00","0,00","1950,00","1950,00",,
,,,Investimento,5.1 Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST,"Ministero degli affari esteri e 
della cooperazione 
internazionale (MAECI)","0,00","0,00","1200,00","1200,00","0,00","1200,00"
,,,Investimento,5.2 Competitività e resilienza delle filiere produttive (CdS),Ministero dello Sviluppo Economico (MiSE),"0,00","0,00","750,00","750,00","0,00","750,00"
,,,Investimento,6.1 Investimento Sistema della Proprietà Industriale,Ministero dello Sviluppo Economico (MiSE),"0,00","0,00","30,00","30,00","0,00","30,00"
,,,Investimento,1: Transizione 4.0,Ministero dello Sviluppo Economico (MiSE),"3094,90","0,00","10286,10","13381,00",,
,,,Sub-Investimento,1.1.1 Credito d'imposta per i beni strumentali 4.0,Ministero dello Sviluppo Economico (MiSE),"2551,00","0,00","6316,96","8867,96","0,00","8867,96"
,,,Sub-Investimento,1.1.2 Credito d'imposta (immateriali non 4.0),Ministero dello Sviluppo Economico (MiSE),"543,90","0,00","1370,00","1913,90","0,00","1913,90"
,,,Sub-Investimento,1.1.3 Crediti d'imposta per beni immateriali tradizionali,Ministero dello Sviluppo Economico (MiSE),"0,00","0,00","290,80","290,80","0,00","290,80"
,,,Sub-Investimento,1.1.4 Credito d'imposta per R&D&I,Ministero dello Sviluppo Economico (MiSE),"0,00","0,00","2008,34","2008,34","0,00","2008,34"
,,,Sub-Investimento,1.1.5 Credito d’imposta formazione,Ministero dello Sviluppo Economico (MiSE),"0,00","0,00","300,00","300,00","0,00","300,00"
,,Transizione 4.0,Investimento,Transizione 4.0,Ministero dello Sviluppo Economico (MiSE),"0,00","0,00","0,00","0,00","5080,00","5080,00"
M1,C3,Industria culturale e creativa 4.0,Investimento,3.2: Sviluppo industria cinematografica (Progetto Cinecittà),Ministero della Cultura (MIC),"0,00","0,00","300,00","300,00","0,00","300,00"
,,,Investimento,3.3: Capacity building per gli operatori della cultura per gestire la transizione digitale e verde,Ministero della Cultura (MIC),"0,00","0,00","155,00","155,00","0,00",
,,,Sub-Investimento,"3.3.1 Interventi per migliorare l'ecosistema in cui operano i settori culturali e creativi, incoraggiando la cooperazione tra operatori cultuari e organizzazioni e facilitando upskill e reskill",Ministero della Cultura (MIC),,,"10,00","10,00",,"10,00"
,,,Sub-Investimento,3.3.2 Sostegno ai settori culturali e creativi per l'innovazione e la transizione digitale,Ministero della Cultura (MIC),,,"115,00","115,00",,"115,00"
,,,Sub-Investimento,3.3.3 Promuovere la riduzione dell'impronta ecologica degli eventi culturali,Ministero della Cultura (MIC),,,"10,00","10,00",,"10,00"
,,,Sub-Investimento,3.3.4 Promuovere l'innovazione e l'eco-progettazione inclusiva,Ministero della Cultura (MIC),,,"20,00","20,00",,"20,00"
,,Patrimonio culturale-Next Generation,Investimento,1.1:Strategia digitale e piattaforme per il patrimonio culturale,Ministero della Cultura (MIC),"0,00","0,00","500,00","500,00","0,00",
,,,Sub-Investimento,1.1.1: Piano nazionale di digitalizzazione per i beni culturali,Ministero della Cultura (MIC),,,"2,00","2,00",,"2,00"
,,,Sub-Investimento,1.1.2: Sistema di certificazione dell'identità digitale per i beni culturali,Ministero della Cultura (MIC),,,"16,00","16,00",,"16,00"
,,,Sub-Investimento,1.1.3: Servizi di infrastruttura cloud,Ministero della Cultura (MIC),,,"25,00","25,00",,"25,00"
,,,Sub-Investimento,1.1.4: Infrastruttura digitale per il patrimonio culturale,Ministero della Cultura (MIC),,,"73,00","73,00",,"73,00"
,,,Sub-Investimento,1.1.5: Digitalizzazione,Ministero della Cultura (MIC),,,"200,00","200,00",,"200,00"
,,,Sub-Investimento,1.1.6: Formazione e miglioramento delle competenze digitali,Ministero della Cultura (MIC),,,"20,00","20,00",,"20,00"
,,,Sub-Investimento,1.1.7: Supporto operativo,Ministero della Cultura (MIC),,,"5,00","5,00",,"5,00"
,,,Sub-Investimento,1.1.8: Polo di conservazione digitale,Ministero della Cultura (MIC),,,"58,00","58,00",,"58,00"
,,,Sub-Investimento,1.1.9: Portale dei procedimenti e dei servizi ai cittadini,Ministero della Cultura (MIC),,,"10,00","10,00",,"10,00"
,,,Sub-Investimento,1.1.10: Piattaforma di accesso integrata della Digital Library,Ministero della Cultura (MIC),,,"36,00","36,00",,"36,00"
,,,Sub-Investimento,1.1.11: Piattaforma di co-creazione e crowdsourcing,Ministero della Cultura (MIC),,,"10,00","10,00",,"10,00"
,,,Sub-Investimento,1.1.12: Piattaforma di servizi digitali per sviluppatori e imprese culturali,Ministero della Cultura (MIC),,,"45,00","45,00",,"45,00"
,,,Investimento,"1.2: Rimozione delle barriere fisiche e cognitive in musei, biblioteche e archivi per consentire un più ampio accesso e partecipazione alla cultura",Ministero della Cultura (MIC),"0,00","0,00","300,00","300,00","0,00","300,00"
,,,Investimento,"1.3: Migliorare l'efficienza energetica di cinema, teatri e musei",Ministero della Cultura (MIC),"0,00","0,00","300,00","300,00","0,00","300,00"
,,,Investimento,"Piano di investimenti strategici sui siti del patrimonio culturale, edifici e aree naturali",Ministero della Cultura (MIC),,,,"0,00","1455,24","1455,24"
,,"Siti minori, aree rurali e periferie",Investimento,2.1: Attrattività dei borghi,Ministero della Cultura (MIC),"0,00","1020,00","0,00","1020,00","0,00","1020,00"
,,,Investimento,2.2: Tutela e valorizzazione dell'architettura e del paesaggio rurale,Ministero della Cultura (MIC),"0,00","0,00","600,00","600,00","0,00","600,00"
,,,Investimento,2.3: Programmi per valorizzare l'identità di luoghi: parchi e giardini storici,Ministero della Cultura (MIC),"0,00","0,00","300,00","300,00","0,00","300,00"
,,,Investimento,"2.4: Sicurezza sismica nei luoghi di culto, restauro del patrimonio culturale del Fondo Edifici di Culto (FEC) e siti di ricovero per le opere d’arte (Recovery Art)",Ministero della Cultura (MIC),"0,00","0,00","800,00","800,00","0,00","800,00"
,,Turismo 4.0,Investimento,4.1 Hub del Turismo Digitale,Ministero del Turismo (MiTur),"0,00","0,00","114,00","114,00","0,00","114,00"
,,,Investimento,4.2 Fondi integrati per la competitività delle imprese turistiche,Ministero del Turismo (MiTur),"0,00","0,00","1786,00","1786,00","0,00",
,,,Sub-Investimento,4.2.1 Miglioramento delle infrastrutture di ricettività attraverso lo strumento del Tax credit,Ministero del Turismo (MiTur),,,"500,00","500,00",,"500,00"
,,,Sub-Investimento,4.2.2 Digitalizzazione Agenzie e Tour Operator,Ministero del Turismo (MiTur),,,"98,00","98,00",,"98,00"
,,,Sub-Investimento,4.2.3 Sviluppo e resilienza delle imprese del settore turistico (Fondo dei Fondi BEI),Ministero del Turismo (MiTur),,,"500,00","500,00",,"500,00"
,,,Sub-Investimento,4.2.4 Sostegno alla nascita e al consolidamento delle pmi turismo (Sezione speciale “turismo” del Fondo di Garanzia per le PMI),Ministero del Turismo (MiTur),,,"358,00","358,00",,"358,00"
,,,Sub-Investimento,4.2.5 Fondo rotativo imprese (FRI ) per il sostegno alle imprese e gli investimenti di sviluppo,Ministero del Turismo (MiTur),,,"180,00","180,00",,"180,00"
,,,Sub-Investimento,"4.2.6 Valorizzazione, competitività e tutela del patrimonio ricettivo attraverso la partecipazione del Min. Turismo nel Fondo Nazionale Turismo",Ministero del Turismo (MiTur),,,"150,00","150,00",,"150,00"
,,,Investimento,4.3 Caput Mundi. Next Generation EU per grandi eventi turistici,Ministero del Turismo (MiTur),"0,00","0,00","500,00","500,00","0,00",
,,,Sub-Investimento,4.3.1 Roman Cultural Heritage for EU-Next Generation,Ministero del Turismo (MiTur),,,"170,00","170,00",,"170,00"
,,,Sub-Investimento,4.3.2 I percorsi Giubilari 2025,Ministero del Turismo (MiTur),,,"160,00","160,00",,"160,00"
,,,Sub-Investimento,4.3.3 La città condivisa,Ministero del Turismo (MiTur),,,"90,00","90,00",,"90,00"
,,,Sub-Investimento,4.3.4 Mitingodiverde,Ministero del Turismo (MiTur),,,"60,00","60,00",,"60,00"
